,company_name,address,tel,mech,lat,lon
16,บริษัท ทรัพย์รุ่งเรือง (1991) จำกัด,52/24 ถ.พุทธมณฑล สาย 3 แขวงทวีวัฒนา เขตทวีวัฒนา กรุงเทพมหานคร 10170,085-841-1148,ไม่มี,13.76609,100.5064806
17,รุ่งโรจน์ค้าไม้,146-148 ถ.บางขุนนนท์ แขวงคลองชักพระ เขตตลิ่งชัน กรุงเทพมหานคร 10170,"02-433-5623, 02-433-2365",ไม่มี,13.777624,100.6052523
18,เสริมเจริญ ซัพพลาย,77/4 หมู่ที่ 2 ถ.ฉิมพลี แขวงฉิมพลี เขตตลิ่งชัน กรุงเทพมหานคร 10170,02-448-7204,ไม่มี,13.7796766,100.6786167
19,บริษัท ตั้งเจริญ แมททีเรียล แอนด์ ซัพพลาย จำกัด,7/1 หมู่ที่ 18 ถ.บรมราชชนนี แขวงศาลาธรรมสพน์ เขตทวีวัฒนา กรุงเทพมหานคร 10170,02-885-8403,ไม่มี,13.7820516,100.5945731
20,บริษัท จิตไพศาลเทรดดิ้ง จำกัด,1 ซ.เพชรเกษม 112 แขวงหนองค้างพลู เขตหนองแขม กรุงเทพมหานคร 10160,02-420-7058,ไม่มี,13.7055381,100.5342415
21,จงมีชัยค้าวัสดุ,"38,40 ถ.ชักพระ แขวงตลิ่งชัน เขตตลิ่งชัน กรุงเทพมหานคร 10170","02-434-8310, 433-3382",ไม่มี,13.7803454,100.6681407
22,เปงเฮงฮวดสามพราน,16/8-9 ถ.เพชรเกษม ต.ท่าตลาด อ.สามพราน จ.นครปฐม 73110,"034-222841, 222842",ไม่มี,13.745692,100.223785
23,บริษัท โทเทิล บิลติ้ง โปรดักส์ จำกัด,177/9 หมู่ที่ 5 ถ.ศาลายา-บางภาษี ต.ศาลายา อ.พุทธมณฑล จ.นครปฐม 73170,"034-246-289, 034-246-780",มี,13.8286507,100.5917648
24,บริษัท ทรัพย์ศิริ 2013 จำกัด,45/11 หมู่ที่ 2 ถ.พุทธมณฑลสาย 5 ต.บางกระทึก อ.สามพราน จ.นครปฐม 73210,086-677-7997,ไม่มี,13.760685,100.7314653
25,เจริญใจฮาร์ดแวร์,50/180 หมู่ที่ 13 ถ.พุทธมณฑลสาย 5 ต.ไร่ขิง อ.สามพราน จ.นครปฐม 73210,,มี,13.728808,100.4323723
26,หจก. ถาวรพัฒน์วัสดุภัณฑ์,8/88 หมู่ที่ 9 ต.ไร่ขิง อ.สามพราน จ.นครปฐม 73210,,ไม่มี,,
27,สวิทโฮม#5 วัสดุก่อสร้าง,19/11 หมู่ที่ 3 ต.ศาลายา อ.พุทธมณฑล จ.นครปฐม 73170,02-444-6562,มี,13.802279,100.6457983
28,รุ่งโรจน์ค้าไม้,106/5 หมู่ที่ 2 ซ.สวนผัก 32 ถ.อัจฉริยะประดิษฐ์ ต.มหาสวัสดิ์ อ.บางกรวย จ.นนทบุรี 11130,061-832-4999,ไม่มี,13.802158,100.432537
29,บริษัท ทรัพย์รุ่งเรือง อีเล็คทริกแอนด์ซัพพลาย จำกัด,13/2 หมู่ที่ 4 ต.หนองเพรางาย อ.ไทรน้อย จ.นนทบุรี 11150,,ไม่มี,13.885574,100.326282
30,บริษัท เอส.ซี.พี. โปรเกรส จำกัด,58 หมู่ที่ 4 ต.ดอนไก่ดี อ.กระทุ่มแบน จ.สมุทรสาคร 74110,02-408-5398,ไม่มี,13.7045131,100.6005295
31,หหส. เปงเฮงฮวดสตีล,101/2-3 หมู่ที่ 11 ถ.เพชรเกษม ต.อ้อมน้อย อ.กระทุ่มแบน จ.สมุทรสาคร 74130,02-420-1475,ไม่มี,13.704155,100.327161
32,เปงเฮงฮวดสตีล,101/2-3 หมู่ที่ 11 ถ.เพชรเกษม ต.อ้อมน้อย อ.กระทุ่มแบน จ.สมุทรสาคร 74130,,ไม่มี,,
33,ร้าน ศิริชัย,180/9 ถ.สุคนธวิท ต.ตลาดกระทุ่มแบน อ.กระทุ่มแบน จ.สมุทรสาคร 74110,081-571-2709,ไม่มี,13.653441,100.6264229
34,ศุภพรฮาร์ดแวร์สโตร์,99/3-4 หมู่ที่ 4 ถ.เศรษฐกิจ 1 ต.ท่าไม้ อ.กระทุ่มแบน จ.สมุทรสาคร 74110,02-808-5499,ไม่มี,13.6803233,100.421696
35,กิตติสุขวัสดุ,190 หมู่ 6 ถ.พุทธสาคร ต.สวนหลวง อ.กระทุ่มแบน จ.สมุทรสาคร 74110,02-431-2841,มี,13.6463594,100.4974837
36,กระทุ่มแบนค้าวัสดุก่อสร้าง,46/2 หมู่ที่ 13 ต.สวนหลวง อ.กระทุ่มแบน จ.สมุทรสาคร 74110,02-811-2838,มี,13.6703231,100.4551029
37,ทรงไชยพานิช,181/28-29 หมู่ที่ 2 ต.คลองมะเดื่อ อ.กระทุ่มแบน จ.สมุทรสาคร 74110,034-460-229,มี,13.6522337,100.5216684
38,หจก. พี.ที.โฮมเพ้นท์,"1212,1214,1216 ถ.กรุงเทพ-นนทบุรี แขวงบางซื่อ เขตบางซื่อ กรุงเทพมหานคร 10800",0-2911-4498-9,มี,13.8143287,100.5318434
39,โฮม ฮาร์ดแวร์,620 ถ.โกสุมรวมใจ แขวงดอนเมือง เขตดอนเมือง กรุงเทพมหานคร 10210,02-573-6633,ไม่มี,13.912781,100.5800333
40,บริษัท ชัยเจริญการช่าง 88 จำกัด,2/3 ถ.ประชานฤมิตร แขวงบางซื่อ เขตบางซื่อ กรุงเทพมหานคร 10800,02-587-2345,ไม่มี,13.809255,100.521995
41,บริษัท ชัยเจริญฮาร์ดแวร์ 88 จำกัด,17 ถ.ประชานฤมิตร แขวงบางซื่อ เขตบางซื่อ กรุงเทพมหานคร 10800,086-100-8444,ไม่มี,13.808973,100.5663073
42,บริษัท มีพร้อมค้าไม้ จำกัด,"346/4-6, 364/8-15 ซ.ไสวสุวรรณ ถ.กรุงเทพ-นนทบุรี แขวงบางซื่อ เขตบางซื่อ กรุงเทพมหานคร 10800",02-9128275,ไม่มี,13.8117106,100.17672
43,หจก. วนาสุวรรณค้าไม้,385/28 ซ.ประชานฤมิตร ถ.ประชาราษฎร์สาย 1 แขวงบางซื่อ เขตบางซื่อ กรุงเทพมหานคร 10800,02-585-6396,ไม่มี,13.8096728,100.5262948
44,บริษัท อรัญโก้มาร์เก็ตติ้ง จำกัด,864/20 ถ.ประชาชื่น แขวงวงศ์สว่าง เขตบางซื่อ กรุงเทพมหานคร 10800,"585-2790, 587-2457",ไม่มี,13.8262717,102.0624642
45,บริษัท แพล็ตตินั่ม วูด จำกัด,527/4 ซ.ไสวสุวรรณ ถ.กรุงเทพ-นนท์ แขวงบางซื่อ เขตบางซื่อ กรุงเทพมหานคร 10800,02-911-4949,ไม่มี,13.8119521,100.5278643
46,หจก. เกรียงไกรค้าไม้,408/1 ถ.ประชานฤมิตร แขวงบางซื่อ เขตบางซื่อ กรุงเทพมหานคร 10800,"02-585-2552, 585-6735",ไม่มี,13.8100963,100.5218034
47,บริษัท ทีค คัลเลอร์ จำกัด,368 ถ.ประชานฤมิตร แขวงบางซื่อ เขตบางซื่อ กรุงเทพมหานคร 10800,02-556-1293-4,มี,13.8099497,100.5287624
48,หจก. เจาฮั้วเฮงค้าไม้,2/4-5 ถ.ประชานฤมิตร แขวงบางซื่อ เขตบางซื่อ กรุงเทพมหานคร 10800,02-912-9081,ไม่มี,13.8095166,100.5248641
49,ชัยรุ่งเรืองพาณิชย์,1148-1150 ถ.กรุงเทพ-นนทบุรี แขวงบางซื่อ เขตบางซื่อ กรุงเทพมหานคร 10800,02-585-9557,ไม่มี,13.8138551,100.5317843
50,ร้าน โรงกลึงไม้หลักชัย,1068-1074 ถ.ประชาราษฎร์ 1 แขวงบางซื่อ เขตบางซื่อ กรุงเทพมหานคร 10800,,ไม่มี,,
51,ชาญชัย ฮาร์ดแวร์,88 ถ.สรงประภา แขวงสีกัน เขตดอนเมือง กรุงเทพมหานคร 10210,,ไม่มี,13.922978,100.5828443
52,คุณพรชัย รอดประเสริฐ,97 ซ.เทิดราชัน 23 (ดาวทอง 3) ถ.เทิดราชัน แขวงสีกัน เขตดอนเมือง กรุงเทพมหานคร 10210,083-054-5542,ไม่มี,13.954913,100.583837
53,บริษัท พรไพศาล พัฒนา(บางกรวย) จำกัด,117/2 หมู่ที่ 2 ต.บางสีทอง อ.บางกรวย จ.นนทบุรี 11130,,ไม่มี,,
54,บริษัท พรไพศาล พัฒนา (บางใหญ่) จำกัด,37/20 หมู่ที่ 2 ต.บางเลน อ.บางใหญ่ จ.นนทบุรี 11140,02-921-6714-6,ไม่มี,13.868313,100.437352
55,วัสดุก่อสร้างไทยนำแสง,7/1 หมู่ที่ 1 ต.คลองขวาง อ.ไทรน้อย จ.นนทบุรี 11150,02-9224447,ไม่มี,13.982791,100.3203293
56,หจก.สุขเจริญ ซีเมนต์,99/1 หมู่ที่ 1 ถ.บ้านกล้วย-ไทรน้อย ต.ไทรน้อย อ.ไทรน้อย จ.นนทบุรี 11150,02-926-8188,ไม่มี,13.9517126,100.3464176
57,บริษัท มีพร้อมค้าไม้ ราชพฤกษ์ จำกัด,19/11 หมู่ 5  ต.บางรักน้อย อ.เมืองนนทบุรี จ.นนทบุรี 11000,"02-595-8430, 02-595-8439",มี,13.8857154,100.6027519
58,คุณเอกสิทธิ์ พฤกษ์สถาพร,5/14-15 หมู่ที่ 6 ถ.บางกรวย-ไทรน้อย ต.ไทรน้อย อ.ไทรน้อย จ.นนทบุรี 11150,089-202-7033,มี,13.978984,99.6390113
59,ส.เคหะภัณฑ์,45/36-38 ซ.รุ่งประชา ถ.เทอดพระเกียรติ ต.วัดชลอ อ.บางกรวย จ.นนทบุรี 11130,02-860-5001,มี,13.7896149,100.5627565
60,ร้าน นวสิริปิ่นเกล้า,118/1 หมู่ที่ 1 ถ.ราชพฤกษ์ ต.บางขุนกอง อ.บางกรวย จ.นนทบุรี 11130,02-4233307,ไม่มี,13.8187428,100.4799562
61,บริษัท วิรุฬห์รัตน์ โมเดิร์น มาร์ท จำกัด,96/2-3 หมู่ 6 ต.บางกรวย อ.บางกรวย จ.นนทบุรี 11130,446-0092,ไม่มี,13.8075721,100.4499567
62,จงเจริญค้าวัสดุ,65/23 หมู่ที่ 5 ซ.แก้วอินทร์สุธาอุทิศ ถ.กาญจนาภิเษก ต.เสาธงหิน อ.บางใหญ่ จ.นนทบุรี 11140,,ไม่มี,13.8711935,100.394649
63,บริษัท ทรัพย์อนันต์บางใหญ่ จำกัด,4/4 หมู่ที่ 2 ถ.บางใหญ่-บางคูลัด ต.บางใหญ่ อ.บางใหญ่ จ.นนทบุรี 11140,081-911-6183,มี,13.84629,100.39226
64,บริษัท จันทรสถาพร วัสดุก่อสร้าง จำกัด,65/1 หมู่ 6 ถ.บางกรวย-ไทรน้อย ต.บางกรวย อ.บางกรวย จ.นนทบุรี 11130,02-883-9263,มี,13.8064759,100.5281858
65,บริษัท สมาร์ท โฮม เพ้นท์ จำกัด,94/171 หมู่บ้าน สิวารัตน์ 9 หมู่ที่ 11 ต.บางบัวทอง อ.บางบัวทอง จ.นนทบุรี 11110,099-249-1333,ไม่มี,,
66,บริษัท สินวัฒนาค้าวัสดุก่อสร้าง จำกัด,99/9 ม.1 ต.บางขนุน อ.บางกรวย จ.นนทบุรี 11130,081-6353433,ไม่มี,13.8183702,100.5323515
67,บริษัท วินัย และ ดนัย อลูมิเนียม จำกัด,"293/5-8,10,12,14,15 ซ.ประชาอุทิศ 69 แขวงบางมด เขตทุ่งครุ กรุงเทพมหานคร 10140",02-817-0354-5,ไม่มี,13.648302,100.5134634
68,ร้าน รุ่งโรจน์วัฒนา,45/5-9 หมู่ที่ 1 แขวงจอมทอง เขตจอมทอง กรุงเทพมหานคร 10150,02-460-1127-9,ไม่มี,13.699062,100.4681636
69,บริษัท โรแยลโฮม จำกัด,252 ถนนพุทธบูชา แขวงบางมด เขตทุ่งครุ กรุงเทพมหานคร 10140,02-415-6849,มี,13.6504327,100.4796555
70,บริษัท ประสงค์กิจซิเมนต์ (1988) จำกัด,"681,683 ถ.สมเด็จพระเจ้าตากสิน แขวงสำเหร่ เขตธนบุรี กรุงเทพมหานคร 10600","02-4763451, 4681143",มี,13.7047848,102.5095965
71,อรุณโรจน์เคหะภัณฑ์,2/19-20 หมู่ที่ 10 ถ.เอกชัย แขวงบางขุนเทียน เขตจอมทอง กรุงเทพมหานคร 10150,02-893-8213,มี,13.6961399,100.6733338
72,ชัยชนะวัสดุภัณฑ์,222 ถ.พุทธบูชา แขวงบางมด เขตทุ่งครุ กรุงเทพมหานคร 10140,02-4263973,มี,13.650983,100.476777
73,บริษัท โตสมบูรณ์ กรุ๊ป จำกัด,257 ซ.สมเด็จเจ้าพระยา 17 แขวงคลองสาน เขตคลองสาน กรุงเทพมหานคร 10600,02-005-1006,ไม่มี,13.698966,100.4665713
74,นวกิจพาณิชย์เพ้นท์ติ้ง,11/71 หมู่ที่ 5 ต.บางขุนกอง อ.บางกรวย จ.นนทบุรี 11130,086-401-3131,ไม่มี,13.755083,100.471583
75,รวมกิจเจริญซัพพลาย,555/70-71 หมู่ที่ 1 ซ.มังกร-ขันดี ถ.เทพารักษ์ ต.แพรกษาใหม่ อ.เมืองสมุทรปราการ จ.สมุทรปราการ 10280,088-755-0791,ไม่มี,13.60313,100.66046
76,บริษัท แคปปิตัลซีเรียลส์ จำกัด,118 หมู่ที่ 9 ต.สำโรง อ.พระประแดง จ.สมุทรปราการ 10130,02-748-5331,ไม่มี,,
77,เจริญกิจค้าวัสดุ,1398/1 ถ.ทรงธรรม ต.ตลาด อ.พระประแดง จ.สมุทรปราการ 10130,02-462-6992,ไม่มี,,
78,บริษัท ศ.รุ่งอนันต์ จำกัด,226/6-7 หมู่ที่ 5 ถ.ศรีนครินทร์ ต.บางเมือง อ.เมืองสมุทรปราการ จ.สมุทรปราการ 10270,02-759-9672-3,ไม่มี,13.6103146,100.7015253
79,บริษัท อุดมโชคพัฒนา จำกัด,114 หมู่ที่ 2 ถ.สุขุมวิท ต.ท้ายบ้าน อ.เมืองสมุทรปราการ จ.สมุทรปราการ 10280,"323-3804, 323-3806",ไม่มี,13.543534,99.33309
80,บริษัท รุ่งศิริซัพพลาย จำกัด,188/4 ถ.สายลวด ต.ปากน้ำ อ.เมืองสมุทรปราการ จ.สมุทรปราการ 10280,02-701-6500,ไม่มี,13.5797924,100.5758741
81,บริษัท ทรี เจ โฮม จำกัด,107/6 หมู่ที่ 3 ถ.สุขสวัสดิ์ ต.ปากคลองบางปลากด อ.พระสมุทรเจดีย์ จ.สมุทรปราการ 10290,"02-425-8147, 02-425-9963",ไม่มี,13.594466,100.579053
82,บริษัท อุตสาหกรรมไม้ ส.ชัยวัฒนา จำกัด,447 หมู่ 2 ถ.บางพลี-ตำหรุ ต.แพรกษาใหม่ อ.เมืองสมุทรปราการ จ.สมุทรปราการ 10280,02-182-2093-5,มี,13.5608584,99.8295805
83,หจก. สุวรรณปีติ,484 หมู่ 4 ต.บ้านคลองสวน อ.พระสมุทรเจดีย์ จ.สมุทรปราการ 10290,02-4616392-3,มี,13.582392,100.5487753
84,บริษัท ศรีอำพล ค้าวัสดุก่อสร้าง จำกัด,659 หมู่ที่ 7 ต.บางปูใหม่ อ.เมืองสมุทรปราการ จ.สมุทรปราการ 10280,02-3239399,มี,13.535577762748796,100.62885921534438
85,โชคพาณิชย์ เคหะภัณฑ์,112/2-4 หมู่ที่ 5 ถ.ศรีนครินทร์ ต.บางเมือง อ.เมืองสมุทรปราการ จ.สมุทรปราการ 10270,099-282-2924,ไม่มี,13.618505,100.62192
86,บริษัท บิลด์สมาร์ท จำกัด,288 หมู่ที่ 6 ถ.ตำหรุ-บางพลี ต.แพรกษาใหม่ อ.เมืองสมุทรปราการ จ.สมุทรปราการ 10280,02-183-8558-9,มี,13.536145509641328,100.68898
87,เอส.เอ็ม.เทรดดิ้ง,501/9 หมู่ที่ 3 ถ.แพรกษา ต.แพรกษา อ.เมืองสมุทรปราการ จ.สมุทรปราการ 10280,02-701-4284,มี,13.574372,100.8997143
88,ร้าน วณิชภัณฑ์,103 ม.10 ถ.สุขสวัสดิ์ ต.ลัดหลวง อ.พระประแดง จ.สมุทรปราการ 10130,02-462-6793,มี,13.6407491,100.6044719
89,ตะวันซุปเปอร์มาร์เก็ตแอนด์ฮาร์ดแวร์,71/55 หมู่ที่ 6 ถ.เพ็ชรหึงษ์ ต.บางยอ อ.พระประแดง จ.สมุทรปราการ 10130,02-819-6600,ไม่มี,13.675873,100.559625
90,นำชัยฮาร์ดแวร์,9/8-11 หมู่ที่ 5 ถ.สุขุมวิท ต.ท้ายบ้าน อ.เมืองสมุทรปราการ จ.สมุทรปราการ 10280,02-3895291,ไม่มี,13.5646955,100.3277625
91,บริษัท อมรเคหะกิจ จำกัด,161 ถ.อุดมสุข แขวงหนองบอน เขตประเวศ กรุงเทพมหานคร 10250,02-396-0008,มี,13.6778185,100.6452466
92,บริษัท กิจเจริญวัฒนาโลหะภัณฑ์ จำกัด,454-462 ถ.เทพรัตน แขวงบางนาใต้ เขตบางนา กรุงเทพมหานคร 10260,02-399-4050-55,มี,13.670051,1006209739
93,บริษัท ส.รุ่งเรืองเพนท์ จำกัด,882 ซ.อุดมสุข 48 ถ.อุดมสุข แขวงบางนาเหนือ เขตบางนา กรุงเทพมหานคร 10260,"746-6050-9, 251-5833",มี,13.6779912,100.6779912
94,บริษัท นวศิริ คอนแทรคติ้ง จำกัด,4543/7 ถ.สุขุมวิท แขวงบางนา เขตบางนา กรุงเทพมหานคร 10260,02-393-7099,ไม่มี,13.6585311,100.6013431
95,บริษัท ฮาร์ดแวร์เฮาส์ จำกัด (สาขาศรีราชา),99/25-27 หมู่ที่ 10 ต.หนองขาม อ.ศรีราชา จ.ชลบุรี 20230,038-320900,มี,13.1358844,100.9857526
96,บริษัท ฮาร์ดแวร์เฮาส์ จำกัด (สาขาอมตะนคร),89/1-2 หมู่ที่ 2 ต.บ้านเก่า อ.พานทอง จ.ชลบุรี 20160,02-707-2222,มี,13.4476333,101.027372
97,บริษัท ฮาร์ดแวร์เฮาส์ จำกัด (สาขาบ่อวิน),898/8-9 หมู่ที่ 8 ต.เขาคันทรง อ.ศรีราชา จ.ชลบุรี 20110,02-707-2222,มี,13.0869585,101.1685089
98,บริษัท ศรีบุญมา โฮมแคร์ จำกัด,89/11 หมู่ที่ 10 ต.บางกร่าง อ.เมืองนนทบุรี จ.นนทบุรี 11000,02-5954467-9,มี,13.8522195,100.4491901
99,บริษัท อมรสีสวย จำกัด,39/251 หมู่ที่ 4 ต.บึงคำพร้อย อ.ลำลูกกา จ.ปทุมธานี 12150,089-477-8831,มี,13.9647366,100.7407764
100,บริษัท ฮาร์ดแวร์เฮาส์ จำกัด (สาขาระยอง),599 หมู่ที่ 6  ต.มะขามคู่ อ.นิคมพัฒนา จ.ระยอง 21180,,มี,12.8327279,101.1265289
101,บริษัท ฮาร์ดแวร์เฮาส์ จำกัด,89/9 หมู่ที่ 7 ถ.เทพรัตน กม.25 ต.บางเสาธง อ.บางเสาธง จ.สมุทรปราการ 10570,02-705-5335,มี,13.5902655,100.8275979
102,บริษัท ฮาร์ดแวร์เฮาส์ จำกัด (สาขาเทพารักษ์),8/15 หมู่ที่ 11 ต.บางปลา อ.บางพลี จ.สมุทรปราการ 10540,02-707-2222,มี,13.590491,100.82753
103,บริษัท ฮาร์ดแวร์เฮาส์ จำกัด (สาขาอนันตภัณฑ์บางพลี),59/15-16 หมู่ที่ 1 ต.ราชาเทวะ อ.บางพลี จ.สมุทรปราการ 10540,"02-705-5335, 02-316-9394",ไม่มี,13.634677,100.71037
104,บริษัท โสภณชัยเพ้นท์ จำกัด,"15,17 ถ.วุฒากาศ แขวงตลาดพลู เขตธนบุรี กรุงเทพมหานคร 10600",02-465-8335,มี,13.71876,100.4724511
105,ร้าน ที เค ฮาร์ดแวร์,42/305 ถ.เลียบคลองภาษีเจริญฝั่งเหนือ 8/1 แขวงหนองแขม เขตหนองแขม กรุงเทพมหานคร 10160,083-999-9235,ไม่มี,13.6897921,100.3700652
106,เอส เอส ฮาร์ดแวร์,42/284 ซ.เลียบคลองภาษีเจริญฝั่งเหนือ8/1 แขวงหนองแขม เขตหนองแขม กรุงเทพมหานคร 10160,083-999-9235,มี,13.689788,100.370025
107,แฮปปี้คัลเลอร์,1022/31 ถ.เจริญนคร แขวงบางลำภูล่าง เขตคลองสาน กรุงเทพมหานคร 10600,02-437-8096,มี,13.7114437,100.4995473
108,บริษัท มิตรเกษม ฮาร์ดแวร์ จำกัด,519/152 ถ.ประชาอุทิศ แขวงทุ่งครุ เขตทุ่งครุ กรุงเทพมหานคร 10140,02-815-9565,มี,13.615375,100.510445
109,ไพศาลฮาร์ดแวร์,"629,631 ถ.เจริญนคร แขวงบุคคโล เขตธนบุรี กรุงเทพมหานคร 10600",02-468-4137,ไม่มี,13.698966,100.4665713
110,บริษัท อภิพิมพ์ชัย จำกัด,634/3 ถ.บางขุนเทียน-ชายทะเล แขวงท่าข้าม เขตบางขุนเทียน กรุงเทพมหานคร 10150,02-453-6224,มี,13.609506,100.4065986
111,บริษัท ธนัชโลหะภัณฑ์ จำกัด,439 ซ.พระรามที่ 2 ซ. 28 แขวงจอมทอง เขตจอมทอง กรุงเทพมหานคร 10150,086-369-8200,มี,13.691181,100.464039
112,ไทยรุ่งโรจน์,"334,336,338 ถ.พระรามที่ 2 แขวงแสมดำ เขตบางขุนเทียน กรุงเทพมหานคร 10150",02-451-4710,ไม่มี,13.6504088,100.4797322
113,บริษัท สีแสงพลอย จำกัด,215 ถ.ราษฏร์พัฒนา แขวงบางปะกอก เขตราษฎร์บูรณะ กรุงเทพมหานคร 10140,02-4276343,ไม่มี,13.6765803,100.6609583
114,บริษัท เจริญกิจรุ่งเรืองฮาร์ดแวร์ จำกัด,259 ถ.ประชาอุทิศ แขวงทุ่งครุ เขตทุ่งครุ กรุงเทพมหานคร 10140,02-426-1749,ไม่มี,13.6260621,100.5044746
115,บริษัท สมบัติ โฮมมาร์ท จำกัด,39/69 หมู่ที่ 12 ต.ไร่ขิง อ.สามพราน จ.นครปฐม 73210,02-811-8260-2,มี,13.7563437,100.3007343
116,หมวยฮาร์ดแวร์,50/161 หมู่ที่ 13 ถ.พุทธมณฑลสาย 5 ต.ไร่ขิง อ.สามพราน จ.นครปฐม 73210,02-019-9177,มี,13.730313,100.2972433
117,ชัยมงคลเคหะภัณฑ์,152/15-18 หมู่ที่ 1 ต.นครชัยศรี อ.นครชัยศรี จ.นครปฐม 73120,034-331-530,มี,13.8014941,100.1850454
118,ชัยมงคล ฮาร์ดแวร์,77/61 หมู่ 3  ต.บางกระเบา อ.นครชัยศรี จ.นครปฐม 73120,089-811-6494,ไม่มี,13.7981318,100.4351763
119,รุ่งเรืองค้าวัสดุก่อสร้าง,38 หมู่ที่ 4  ต.วัดแค อ.นครชัยศรี จ.นครปฐม 73120,034-338714,มี,13.811597,100.5263
120,บริษัท ทรัพย์งิ้วรายเทรดดิ้งส์ จำกัด,11/14 หมู่ 3 ต.งิ้วราย อ.นครชัยศรี จ.นครปฐม 73120,034-299551-2,มี,13.8034085,100.7235048
121,ท.กุลงามฮาร์ดแวร์,19/43 หมู่ที่ 5 ต.ศาลายา อ.พุทธมณฑล จ.นครปฐม 73170,034-246-599,มี,13.806201,100.7254553
122,บริษัท พี เอ็น เอส เมเนจเม้นท์ จำกัด,40/83-84 หมู่ที่ 6  ต.บางกระทึก อ.สามพราน จ.นครปฐม 73210,02-889-5069,มี,13.7852781,100.6750029
123,บริษัท วี.คัลเลอร์ส เทรดดิ้ง จำกัด,166 หมู่ที่ 17 ซ.นิคมอุตสาหกรรม 3 ถ.บางนา-ตราด ต.บางเสาธง อ.บางเสาธง จ.สมุทรปราการ 10570,02-385-7540,มี,13.576437,100.79844
124,ฮาร์ดแวร์บางปู,888/6-8 หมู่ที่ 3 ถ.สุขุมวิท ต.บางปูใหม่ อ.เมืองสมุทรปราการ จ.สมุทรปราการ 10280,02-323-1180,มี,13.51857,100.67189
